user_id,email,password_hash,full_name,role,is_active,created_at,last_login
ADMIN001,admin@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,System Administrator,admin,True,2025-11-29T15:55:44.555855,2025-11-29T15:55:44.555883
USER0001,avery.davis@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Avery Davis,tutor,True,2025-08-01T15:55:44.555905,2025-11-17T15:55:44.555917
USER0002,oliver.smith@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Oliver Smith,tutor,True,2024-12-11T15:55:44.555926,2025-10-30T15:55:44.555930
USER0003,sofia.garcia@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Sofia Garcia,tutor,True,2025-06-17T15:55:44.555935,2025-11-28T15:55:44.555938
USER0004,mia.sanchez@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Mia Sanchez,tutor,True,2025-06-16T15:55:44.555942,2025-11-26T15:55:44.555944
USER0005,mia.davis@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Mia Davis,tutor,True,2025-05-23T15:55:44.555947,2025-11-04T15:55:44.555949
USER0006,mason.garcia@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Mason Garcia,tutor,True,2025-09-09T15:55:44.555952,2025-11-09T15:55:44.555954
USER0007,ethan.rodriguez@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Ethan Rodriguez,tutor,True,2025-08-02T15:55:44.555958,2025-11-09T15:55:44.555959
USER0008,mia.moore@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Mia Moore,tutor,True,2025-03-13T15:55:44.555965,2025-11-28T15:55:44.555968
USER0009,mason.miller@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Mason Miller,tutor,True,2025-09-06T15:55:44.555971,2025-11-10T15:55:44.555973
USER0010,liam.perez@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Liam Perez,tutor,True,2025-10-22T15:55:44.555976,2025-11-06T15:55:44.555978
USER0011,michael.harris@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Michael Harris,tutor,True,2024-12-14T15:55:44.555981,2025-11-20T15:55:44.555983
USER0012,oliver.johnson@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Oliver Johnson,tutor,True,2025-02-03T15:55:44.555986,2025-11-19T15:55:44.555988
USER0013,emma.davis@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Emma Davis,tutor,True,2025-09-26T15:55:44.555990,2025-11-20T15:55:44.555992
USER0014,elizabeth.williams@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Elizabeth Williams,tutor,True,2025-02-18T15:55:44.555995,2025-11-24T15:55:44.555997
USER0015,james.rodriguez@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,James Rodriguez,tutor,True,2025-07-08T15:55:44.556000,2025-11-25T15:55:44.556002
USER0016,mason.lee@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Mason Lee,tutor,True,2025-07-29T15:55:44.556005,2025-11-17T15:55:44.556007
USER0017,jackson.martin@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Jackson Martin,tutor,True,2025-04-08T15:55:44.556012,2025-11-02T15:55:44.556014
USER0018,jayden.thompson@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Jayden Thompson,tutor,True,2025-03-10T15:55:44.556017,2025-11-25T15:55:44.556019
USER0019,sophia.wilson@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Sophia Wilson,tutor,True,2025-06-29T15:55:44.556021,2025-11-03T15:55:44.556023
USER0020,lucas.garcia@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Lucas Garcia,tutor,True,2025-05-21T15:55:44.556026,2025-10-31T15:55:44.556028
USER0021,ethan.thompson@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Ethan Thompson,staff,True,2025-10-27T15:55:44.556031,2025-11-08T15:55:44.556033
USER0022,evelyn.martin@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Evelyn Martin,staff,True,2025-04-12T15:55:44.556037,2025-11-16T15:55:44.556039
USER0023,avery.miller@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Avery Miller,staff,True,2025-05-13T15:55:44.556042,2025-11-17T15:55:44.556044
USER0024,jackson.robinson@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Jackson Robinson,staff,True,2025-09-23T15:55:44.556047,2025-11-22T15:55:44.556048
USER0025,michael.gonzalez@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Michael Gonzalez,staff,True,2025-07-19T15:55:44.556051,2025-11-21T15:55:44.556053
