tutor_id,tutor_name,check_in,check_out,shift_hours,snapshot_in,snapshot_out
2598056,Liam Johnson,2025-01-01 10:00,2025-01-01 12:30,2.5,snapshots/2598056.jpg,snapshots/2598056.jpg
6362733,Meera Nair,2025-01-04 08:00,2025-01-04 09:30,1.5,snapshots/6362733.jpg,snapshots/6362733.jpg
2598056,Liam Johnson,2025-01-04 12:00,2025-01-04 15:00,3.0,snapshots/2598056.jpg,snapshots/2598056.jpg
7644166,Ryan Scott,2025-01-05 08:15,2025-01-05 10:45,2.5,snapshots/7644166.jpg,snapshots/7644166.jpg
2598056,Liam Johnson,2025-01-05 17:15,2025-01-05 20:15,3.0,snapshots/2598056.jpg,snapshots/2598056.jpg
7644166,Ryan Scott,2025-01-06 13:00,2025-01-06 15:00,2.0,snapshots/7644166.jpg,snapshots/7644166.jpg
6403246,Isabella Davis,2025-01-07 10:45,2025-01-07 12:45,2.0,snapshots/6403246.jpg,snapshots/6403246.jpg
7916493,Arjun Kapoor,2025-01-07 11:30,2025-01-07 13:00,1.5,snapshots/7916493.jpg,snapshots/7916493.jpg
2598056,Liam Johnson,2025-01-07 13:45,2025-01-07 16:15,2.5,snapshots/2598056.jpg,snapshots/2598056.jpg
8853681,Aanya Mehta,2025-01-09 17:00,2025-01-09 18:30,1.5,snapshots/8853681.jpg,snapshots/8853681.jpg
7916493,Arjun Kapoor,2025-01-14 09:00,2025-01-14 12:00,3.0,snapshots/7916493.jpg,snapshots/7916493.jpg
4146623,Noah Wilson,2025-01-14 14:45,2025-01-14 16:15,1.5,snapshots/4146623.jpg,snapshots/4146623.jpg
2115580,Saanvi Joshi,2025-01-15 12:00,2025-01-15 14:00,2.0,snapshots/2115580.jpg,snapshots/2115580.jpg
2701634,Emily Brown,2025-01-15 13:15,2025-01-15 15:15,2.0,snapshots/2701634.jpg,snapshots/2701634.jpg
